Index,X_0,X_1,X_2,Fitness_Fitness_0,Fitness_Fitness_1,Critical
0,0.430366,1.780303,4.269160,-0.999998,-1.388627,1
1,0.596437,1.485295,2.618326,-0.999996,-1.798574,1
2,0.597760,1.485295,2.618326,-0.999989,-1.802343,1
3,0.381915,0.685376,1.543754,-0.999968,-2.330846,1
4,0.496810,0.665127,0.003127,-0.999953,-2.586753,1
5,0.522797,0.752716,0.735280,-0.999900,-2.627547,1
6,0.579636,0.774882,0.413952,-0.999875,-2.685070,1
7,0.579650,0.774742,0.413819,-0.999814,-2.685115,1
8,0.590109,0.772762,0.358313,-0.999574,-2.715497,1
9,0.590109,0.772762,0.358313,-0.999574,-2.715497,1
10,0.673669,0.847109,0.380983,-0.995480,-2.932710,1
11,0.874911,0.930652,0.000303,-0.986391,-2.964653,1
12,0.839127,0.912076,0.000001,-0.984101,-3.052560,1
13,0.854505,0.932387,0.000008,-0.964867,-3.185198,1
14,0.602307,1.555238,2.444336,-0.947182,-3.188725,1
15,0.602127,1.580452,2.462403,-0.902324,-3.248701,1
16,0.602127,1.580452,2.462403,-0.902324,-3.248701,1
17,0.883852,0.962375,0.000000,-0.899934,-3.251567,1
18,0.874911,0.959489,0.000303,-0.872357,-3.261441,1
19,0.875865,0.962719,0.000003,-0.860054,-3.346183,1
20,0.595605,1.447407,2.183314,-0.859724,-3.346615,1
21,0.599142,1.196817,1.385338,-0.803056,-3.395908,1
