run,NSGA-II-SVM,NSGA-II-DT,RS
1,0.7004111259282049,0.6391731713141025,0.6390551686794872
2,0.766338445429487,0.5208309439743589,0.7147118695730771
3,0.789755789196154,0.368406592823077,0.683215644248718
4,0.7213694012512821,0.6474486408320512,0.6423547425076923
5,0.6733040719948717,0.6700144461717947,0.6363718765935897
6,0.7201686529051281,0.6692364507179486,0.666794572229487
7,0.7504065908089743,0.6791046361628205,0.6240014263987179
8,0.7275201323205128,0.663897024974359,0.6242598383974357
9,0.7760586308935898,0.44912570840000005,0.6213636680794873
10,0.766338445429490,0.5920907469628203,0.4935138451602563
